"ParticipantNum","StrengthLevel","ResponseTime","Accuracy","Confidence"
"1","1",0.708336114883423,0,"2"
"1","1",0.858196020126343,1,"2"
"1","1",1.10832214355469,1,"1"
"1","1",0.81694507598877,1,"1"
"1","1",0.960108995437622,1,"1"
"1","1",0.89997410774231,0,"1"
"1","1",1.57517099380493,1,"3"
"1","1",0.983422994613648,1,"2"
"1","1",1.10016584396362,1,"1"
"1","1",0.817098140716553,0,"1"
"1","1",1.02493786811829,0,"1"
"1","1",0.783202171325684,0,"1"
"1","1",1.67490601539612,1,"3"
"1","1",1.12508702278137,1,"2"
"1","1",0.991857051849365,0,"2"
"1","1",0.983469009399414,1,"1"
"1","1",0.925074100494385,0,"1"
"1","1",0.791889905929565,1,"1"
"1","1",1.16678404808044,1,"2"
"1","1",1.07520198822021,1,"1"
"1","1",0.9584801197052,1,"3"
"1","1",0.974941968917847,1,"3"
"1","1",0.783762931823731,0,"2"
"1","1",0.95750904083252,0,"2"
"1","1",1.38340997695923,1,"1"
"1","1",1.11575198173523,1,"2"
"1","1",1.21656513214111,0,"1"
"1","1",0.882663011550903,1,"1"
"1","1",1.17493295669556,1,"2"
"1","1",1.78370690345764,0,"1"
"1","1",1.01669692993164,0,"2"
"1","1",0.800022125244141,0,"1"
"1","1",0.783907890319824,1,"1"
"1","1",1.05676698684692,1,"1"
"1","1",0.841584920883179,0,"1"
"1","1",1.16701197624207,0,"1"
"1","1",1.34172987937927,1,"1"
"1","1",0.933357954025269,0,"1"
"1","1",0.950037956237793,0,"1"
"1","1",0.841648101806641,1,"1"
"1","1",0.766966819763184,1,"1"
"1","1",1.12512588500977,0,"2"
"1","1",0.774912118911743,1,"1"
"1","1",0.892061948776245,0,"2"
"1","1",0.941871881484985,1,"1"
"1","1",0.916989088058472,0,"1"
"1","1",0.924876928329468,1,"1"
"1","1",1.01652383804321,1,"1"
"1","1",1.45834898948669,0,"2"
"1","1",1.30029106140137,0,"3"
"1","1",1.09194016456604,0,"1"
"1","1",0.874125003814697,0,"2"
"1","1",0.800128936767578,1,"1"
"1","1",0.908246994018555,1,"1"
"1","1",1.12523603439331,0,"1"
"1","1",1.31685209274292,0,"2"
"1","1",1.01668214797974,1,"1"
"1","1",0.933475971221924,0,"1"
"1","1",1.26674699783325,0,"2"
"1","1",0.791597127914429,1,"1"
"1","1",0.949853897094727,1,"1"
"1","1",0.800210952758789,0,"1"
"1","1",0.974956035614014,1,"2"
"1","1",0.850119113922119,1,"3"
"1","1",0.691702127456665,1,"2"
"1","1",0.982383012771606,0,"1"
"1","1",0.874946117401123,0,"1"
